	tri_edge	dom/cod	flower	feather	fly	beauty	sky	skirt	dance	spin	NA
0	('dance', 'woman')	dance	95	55	99	41	41	32	291	13	333
1	('dance', 'woman')	woman	211	85	12	126	59	115	59	0	333
2	('dance', 'music')	dance	149	80	89	67	24	79	260	23	229
3	('dance', 'music')	music	146	28	53	195	62	32	220	35	229
4	('dance', 'beauty')	dance	185	102	33	17	5	0	655	3	0
5	('dance', 'beauty')	beauty	0	29	45	794	34	26	71	1	0
6	('dance', 'skirt')	dance	203	91	113	31	17	17	520	8	0
7	('dance', 'skirt')	skirt	0	123	89	83	41	573	79	12	0
8	('dance', 'stage')	dance	77	26	62	24	15	22	197	23	554
9	('dance', 'stage')	stage	39	62	25	19	29	53	108	111	554
10	('dance', 'flower')	dance	160	100	113	72	56	15	475	9	0
11	('dance', 'flower')	flower	190	72	78	247	125	173	100	15	0
12	('dance', 'feather')	dance	192	62	120	110	23	29	440	24	0
13	('dance', 'feather')	feather	0	382	38	33	186	229	67	65	0
14	('woman', 'dance')	woman	216	55	14	139	54	137	49	0	336
15	('woman', 'dance')	dance	99	64	86	36	49	41	277	12	336
16	('woman', 'music')	woman	158	65	8	113	42	130	36	0	448
17	('woman', 'music')	music	41	14	36	136	51	14	226	34	448
18	('woman', 'beauty')	woman	223	49	14	115	38	133	78	0	350
19	('woman', 'beauty')	beauty	20	49	39	380	26	56	79	1	350
20	('woman', 'skirt')	woman	190	75	19	158	47	94	101	0	316
21	('woman', 'skirt')	skirt	13	121	56	26	54	351	60	3	316
22	('woman', 'stage')	woman	90	42	5	78	16	67	29	0	673
23	('woman', 'stage')	stage	25	37	12	13	22	20	121	77	673
24	('woman', 'flower')	woman	166	58	14	153	51	113	84	0	361
25	('woman', 'flower')	flower	130	62	35	135	93	101	79	4	361
26	('woman', 'feather')	woman	176	50	7	245	45	113	60	0	304
27	('woman', 'feather')	feather	2	249	44	21	128	121	61	70	304
28	('music', 'dance')	music	146	21	45	207	46	25	213	37	260
29	('music', 'dance')	dance	143	70	69	88	18	59	275	18	260
30	('music', 'woman')	music	52	17	27	115	41	18	201	37	492
31	('music', 'woman')	woman	146	61	14	97	35	102	53	0	492
32	('music', 'beauty')	music	177	34	25	81	45	17	345	17	259
33	('music', 'beauty')	beauty	8	40	28	536	23	36	70	0	259
34	('music', 'skirt')	music	89	24	46	260	61	12	246	62	200
35	('music', 'skirt')	skirt	2	152	95	48	40	387	32	44	200
36	('music', 'stage')	music	62	13	25	102	20	8	125	9	636
37	('music', 'stage')	stage	36	52	21	13	29	38	105	70	636
38	('music', 'flower')	music	91	30	44	121	67	27	405	14	201
39	('music', 'flower')	flower	160	64	56	225	80	126	81	7	201
40	('music', 'feather')	music	78	20	42	255	44	13	285	47	216
41	('music', 'feather')	feather	0	300	50	20	122	157	45	90	216
42	('beauty', 'dance')	beauty	0	26	56	785	47	31	53	2	0
43	('beauty', 'dance')	dance	187	91	38	0	1	0	675	8	0
44	('beauty', 'woman')	beauty	20	52	27	428	24	57	55	1	336
45	('beauty', 'woman')	woman	241	62	14	91	39	130	87	0	336
46	('beauty', 'music')	beauty	12	37	23	598	28	35	37	0	230
47	('beauty', 'music')	music	192	21	42	59	39	16	384	17	230
48	('beauty', 'skirt')	beauty	0	28	35	895	0	18	24	0	0
49	('beauty', 'skirt')	skirt	0	11	57	13	0	911	8	0	0
50	('beauty', 'stage')	beauty	0	25	13	416	18	7	7	1	513
51	('beauty', 'stage')	stage	41	64	28	11	10	45	145	143	513
52	('beauty', 'flower')	beauty	109	48	24	704	38	27	50	0	0
53	('beauty', 'flower')	flower	329	23	28	162	122	185	150	1	0
54	('beauty', 'feather')	beauty	0	36	25	899	25	15	0	0	0
55	('beauty', 'feather')	feather	0	408	0	22	155	263	91	61	0
56	('skirt', 'dance')	skirt	0	104	90	69	44	614	67	12	0
57	('skirt', 'dance')	dance	192	107	105	22	22	0	537	15	0
58	('skirt', 'woman')	skirt	6	120	52	18	59	346	48	5	346
59	('skirt', 'woman')	woman	219	72	12	155	38	79	79	0	346
60	('skirt', 'music')	skirt	0	166	80	49	36	362	27	49	231
61	('skirt', 'music')	music	67	18	46	278	58	18	229	55	231
62	('skirt', 'beauty')	skirt	0	14	44	25	0	909	8	0	0
63	('skirt', 'beauty')	beauty	0	24	50	881	0	27	18	0	0
64	('skirt', 'stage')	skirt	1	96	42	38	46	206	18	26	527
65	('skirt', 'stage')	stage	44	55	26	25	23	33	149	118	527
66	('skirt', 'flower')	skirt	12	120	59	38	53	620	94	4	0
67	('skirt', 'flower')	flower	222	138	68	200	96	137	137	2	0
68	('skirt', 'feather')	skirt	0	126	56	52	23	687	56	0	0
69	('skirt', 'feather')	feather	0	520	0	10	171	169	104	26	0
70	('stage', 'dance')	stage	49	57	32	22	22	53	133	108	524
71	('stage', 'dance')	dance	82	53	41	33	18	34	202	13	524
72	('stage', 'woman')	stage	30	37	18	8	25	28	114	95	645
73	('stage', 'woman')	woman	106	30	11	85	24	74	25	0	645
74	('stage', 'music')	stage	42	48	22	9	18	45	99	85	632
75	('stage', 'music')	music	79	14	31	78	28	3	125	10	632
76	('stage', 'beauty')	stage	65	59	30	15	19	51	134	150	477
77	('stage', 'beauty')	beauty	1	13	13	442	33	10	11	0	477
78	('stage', 'skirt')	stage	30	42	23	16	23	27	177	130	532
79	('stage', 'skirt')	skirt	3	122	33	39	37	194	18	22	532
80	('stage', 'flower')	stage	44	52	23	23	31	47	172	109	499
81	('stage', 'flower')	flower	99	33	28	140	78	74	43	6	499
82	('stage', 'feather')	stage	50	32	23	15	22	42	169	106	541
83	('stage', 'feather')	feather	4	189	15	17	79	100	26	29	541
84	('flower', 'dance')	flower	188	85	77	259	136	157	90	8	0
85	('flower', 'dance')	dance	160	95	85	72	59	24	495	10	0
86	('flower', 'woman')	flower	145	54	42	136	119	101	101	4	298
87	('flower', 'woman')	woman	175	65	8	161	51	143	99	0	298
88	('flower', 'music')	flower	161	52	43	219	100	124	93	8	200
89	('flower', 'music')	music	82	24	46	141	56	19	406	26	200
90	('flower', 'beauty')	flower	333	19	31	204	120	139	154	0	0
91	('flower', 'beauty')	beauty	140	45	20	674	43	24	54	0	0
92	('flower', 'skirt')	flower	207	167	51	186	94	140	152	3	0
93	('flower', 'skirt')	skirt	21	108	53	41	32	651	91	3	0
94	('flower', 'stage')	flower	113	33	25	147	70	86	25	5	496
95	('flower', 'stage')	stage	35	73	33	18	24	45	154	122	496
96	('flower', 'feather')	flower	212	62	66	243	126	167	117	7	0
97	('flower', 'feather')	feather	0	431	13	19	184	203	109	41	0
98	('feather', 'dance')	feather	0	377	35	45	210	192	66	75	0
99	('feather', 'dance')	dance	169	61	116	114	25	32	459	24	0
100	('feather', 'woman')	feather	3	242	74	24	105	119	56	68	309
101	('feather', 'woman')	woman	179	43	19	218	40	117	75	0	309
102	('feather', 'music')	feather	0	309	49	26	123	177	42	77	197
103	('feather', 'music')	music	88	18	48	252	45	18	290	44	197
104	('feather', 'beauty')	feather	0	406	0	18	148	270	76	82	0
105	('feather', 'beauty')	beauty	0	29	29	899	24	19	0	0	0
106	('feather', 'skirt')	feather	0	547	0	9	156	152	102	34	0
107	('feather', 'skirt')	skirt	0	126	55	51	15	700	53	0	0
108	('feather', 'stage')	feather	8	185	12	25	92	97	29	46	506
109	('feather', 'stage')	stage	51	60	25	15	15	35	169	124	506
110	('feather', 'flower')	feather	3	453	17	26	165	186	104	46	0
111	('feather', 'flower')	flower	211	47	72	248	119	202	96	5	0
