	tri_edge	dom/cod	sliced_ham	Grupo_Herdez	silks_velvets	WITH_RESPECT	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	puerto	visit_www.ewga.com	E_CigaretteDirect_LLC	NA
0	('Complete_Sweep_Of', 'Latest_Advancements')	Complete_Sweep_Of	0	218	15	109	197	113	83	42	146	77
1	('Complete_Sweep_Of', 'Latest_Advancements')	Latest_Advancements	0	179	50	136	179	123	74	48	134	77
2	('Complete_Sweep_Of', 'Mark_Abramson_MEDIANEWS')	Complete_Sweep_Of	0	280	10	151	163	129	52	135	51	29
3	('Complete_Sweep_Of', 'Mark_Abramson_MEDIANEWS')	Mark_Abramson_MEDIANEWS	0	233	8	143	231	139	31	146	40	29
4	('Complete_Sweep_Of', 'BOB_DROGIN')	Complete_Sweep_Of	0	268	24	121	200	124	95	48	97	23
5	('Complete_Sweep_Of', 'BOB_DROGIN')	BOB_DROGIN	0	271	19	101	257	122	104	18	85	23
6	('Complete_Sweep_Of', 'SIGNIFICANCE_OF')	Complete_Sweep_Of	0	289	14	67	216	111	156	44	83	20
7	('Complete_Sweep_Of', 'SIGNIFICANCE_OF')	SIGNIFICANCE_OF	0	125	8	50	471	67	179	21	59	20
8	('Complete_Sweep_Of', 'Preseason_Picks')	Complete_Sweep_Of	0	56	6	269	120	306	12	151	35	45
9	('Complete_Sweep_Of', 'Preseason_Picks')	Preseason_Picks	0	25	13	176	101	363	14	220	43	45
10	('Complete_Sweep_Of', 'visit_www.ewga.com')	Complete_Sweep_Of	0	266	11	140	147	109	145	48	117	17
11	('Complete_Sweep_Of', 'visit_www.ewga.com')	visit_www.ewga.com	0	20	6	92	285	169	173	126	112	17
12	('Complete_Sweep_Of', 'rookie_Alex_Prugh')	Complete_Sweep_Of	0	269	26	117	134	102	88	46	148	70
13	('Complete_Sweep_Of', 'rookie_Alex_Prugh')	rookie_Alex_Prugh	0	118	29	146	169	175	83	76	134	70
14	('Latest_Advancements', 'Complete_Sweep_Of')	Latest_Advancements	0	194	52	150	185	137	66	36	104	76
15	('Latest_Advancements', 'Complete_Sweep_Of')	Complete_Sweep_Of	0	211	25	95	197	99	92	38	167	76
16	('Latest_Advancements', 'Mark_Abramson_MEDIANEWS')	Latest_Advancements	0	215	56	178	124	148	100	43	96	40
17	('Latest_Advancements', 'Mark_Abramson_MEDIANEWS')	Mark_Abramson_MEDIANEWS	0	297	30	174	31	237	69	24	98	40
18	('Latest_Advancements', 'BOB_DROGIN')	Latest_Advancements	0	185	197	180	78	80	80	91	60	49
19	('Latest_Advancements', 'BOB_DROGIN')	BOB_DROGIN	0	257	146	166	102	24	102	75	79	49
20	('Latest_Advancements', 'SIGNIFICANCE_OF')	Latest_Advancements	0	189	53	267	76	74	123	48	129	41
21	('Latest_Advancements', 'SIGNIFICANCE_OF')	SIGNIFICANCE_OF	0	160	22	438	26	29	176	31	77	41
22	('Latest_Advancements', 'Preseason_Picks')	Latest_Advancements	0	184	64	131	206	85	83	51	123	73
23	('Latest_Advancements', 'Preseason_Picks')	Preseason_Picks	0	137	30	132	162	135	99	59	173	73
24	('Latest_Advancements', 'visit_www.ewga.com')	Latest_Advancements	0	193	194	215	53	70	59	84	80	52
25	('Latest_Advancements', 'visit_www.ewga.com')	visit_www.ewga.com	0	128	136	277	27	56	73	180	71	52
26	('Latest_Advancements', 'rookie_Alex_Prugh')	Latest_Advancements	0	157	222	92	65	56	137	98	102	71
27	('Latest_Advancements', 'rookie_Alex_Prugh')	rookie_Alex_Prugh	0	75	160	109	37	74	134	237	103	71
28	('Mark_Abramson_MEDIANEWS', 'Complete_Sweep_Of')	Mark_Abramson_MEDIANEWS	0	249	10	184	247	144	21	90	32	23
29	('Mark_Abramson_MEDIANEWS', 'Complete_Sweep_Of')	Complete_Sweep_Of	0	274	8	98	179	114	55	187	62	23
30	('Mark_Abramson_MEDIANEWS', 'Latest_Advancements')	Mark_Abramson_MEDIANEWS	0	322	23	175	33	231	60	18	90	48
31	('Mark_Abramson_MEDIANEWS', 'Latest_Advancements')	Latest_Advancements	0	203	57	150	131	160	94	42	115	48
32	('Mark_Abramson_MEDIANEWS', 'BOB_DROGIN')	Mark_Abramson_MEDIANEWS	0	3	0	461	61	463	0	5	0	7
33	('Mark_Abramson_MEDIANEWS', 'BOB_DROGIN')	BOB_DROGIN	0	4	2	305	129	517	5	27	4	7
34	('Mark_Abramson_MEDIANEWS', 'SIGNIFICANCE_OF')	Mark_Abramson_MEDIANEWS	0	0	0	0	504	496	0	0	0	0
35	('Mark_Abramson_MEDIANEWS', 'SIGNIFICANCE_OF')	SIGNIFICANCE_OF	0	0	0	0	496	504	0	0	0	0
36	('Mark_Abramson_MEDIANEWS', 'Preseason_Picks')	Mark_Abramson_MEDIANEWS	0	358	3	258	92	83	33	126	21	26
37	('Mark_Abramson_MEDIANEWS', 'Preseason_Picks')	Preseason_Picks	0	34	13	138	209	166	80	250	84	26
38	('Mark_Abramson_MEDIANEWS', 'visit_www.ewga.com')	Mark_Abramson_MEDIANEWS	0	0	0	0	0	1000	0	0	0	0
39	('Mark_Abramson_MEDIANEWS', 'visit_www.ewga.com')	visit_www.ewga.com	0	0	0	0	0	0	0	1000	0	0
40	('Mark_Abramson_MEDIANEWS', 'rookie_Alex_Prugh')	Mark_Abramson_MEDIANEWS	0	369	25	116	175	56	89	13	115	42
41	('Mark_Abramson_MEDIANEWS', 'rookie_Alex_Prugh')	rookie_Alex_Prugh	0	73	31	128	243	154	91	84	154	42
42	('BOB_DROGIN', 'Complete_Sweep_Of')	BOB_DROGIN	0	290	17	129	272	97	103	9	63	20
43	('BOB_DROGIN', 'Complete_Sweep_Of')	Complete_Sweep_Of	0	250	17	122	215	104	115	42	115	20
44	('BOB_DROGIN', 'Latest_Advancements')	BOB_DROGIN	0	292	158	174	85	44	94	60	57	36
45	('BOB_DROGIN', 'Latest_Advancements')	Latest_Advancements	0	197	193	158	88	73	83	109	63	36
46	('BOB_DROGIN', 'Mark_Abramson_MEDIANEWS')	BOB_DROGIN	0	13	2	594	122	229	8	22	5	5
47	('BOB_DROGIN', 'Mark_Abramson_MEDIANEWS')	Mark_Abramson_MEDIANEWS	0	4	0	202	34	748	0	7	0	5
48	('BOB_DROGIN', 'SIGNIFICANCE_OF')	BOB_DROGIN	0	18	0	451	70	385	5	62	7	2
49	('BOB_DROGIN', 'SIGNIFICANCE_OF')	SIGNIFICANCE_OF	0	0	0	337	76	506	2	77	0	2
50	('BOB_DROGIN', 'Preseason_Picks')	BOB_DROGIN	0	332	30	157	149	105	88	14	90	35
51	('BOB_DROGIN', 'Preseason_Picks')	Preseason_Picks	0	114	27	147	118	221	107	54	177	35
52	('BOB_DROGIN', 'visit_www.ewga.com')	BOB_DROGIN	0	307	4	430	75	45	45	58	32	4
53	('BOB_DROGIN', 'visit_www.ewga.com')	visit_www.ewga.com	0	15	1	75	235	122	45	454	49	4
54	('BOB_DROGIN', 'rookie_Alex_Prugh')	BOB_DROGIN	0	329	111	262	29	41	44	40	103	41
55	('BOB_DROGIN', 'rookie_Alex_Prugh')	rookie_Alex_Prugh	0	94	115	255	35	75	66	197	122	41
56	('SIGNIFICANCE_OF', 'Complete_Sweep_Of')	SIGNIFICANCE_OF	0	100	10	60	522	80	150	13	44	21
57	('SIGNIFICANCE_OF', 'Complete_Sweep_Of')	Complete_Sweep_Of	0	275	10	57	177	84	212	54	110	21
58	('SIGNIFICANCE_OF', 'Latest_Advancements')	SIGNIFICANCE_OF	0	156	27	489	16	35	138	20	70	49
59	('SIGNIFICANCE_OF', 'Latest_Advancements')	Latest_Advancements	0	213	50	224	63	84	136	52	129	49
60	('SIGNIFICANCE_OF', 'Mark_Abramson_MEDIANEWS')	SIGNIFICANCE_OF	0	0	0	0	1000	0	0	0	0	0
61	('SIGNIFICANCE_OF', 'Mark_Abramson_MEDIANEWS')	Mark_Abramson_MEDIANEWS	0	0	0	0	0	1000	0	0	0	0
62	('SIGNIFICANCE_OF', 'BOB_DROGIN')	SIGNIFICANCE_OF	0	1	0	549	94	292	0	58	0	6
63	('SIGNIFICANCE_OF', 'BOB_DROGIN')	BOB_DROGIN	0	15	1	201	50	606	4	110	7	6
64	('SIGNIFICANCE_OF', 'Preseason_Picks')	SIGNIFICANCE_OF	0	267	112	449	15	5	32	22	66	32
65	('SIGNIFICANCE_OF', 'Preseason_Picks')	Preseason_Picks	0	187	94	276	32	54	59	97	169	32
66	('SIGNIFICANCE_OF', 'visit_www.ewga.com')	SIGNIFICANCE_OF	0	0	0	0	1000	0	0	0	0	0
67	('SIGNIFICANCE_OF', 'visit_www.ewga.com')	visit_www.ewga.com	0	0	0	0	0	0	0	1000	0	0
68	('SIGNIFICANCE_OF', 'rookie_Alex_Prugh')	SIGNIFICANCE_OF	0	265	56	428	14	12	29	24	140	32
69	('SIGNIFICANCE_OF', 'rookie_Alex_Prugh')	rookie_Alex_Prugh	0	73	82	272	60	81	73	106	221	32
70	('Preseason_Picks', 'Complete_Sweep_Of')	Preseason_Picks	0	21	8	233	94	335	23	198	39	49
71	('Preseason_Picks', 'Complete_Sweep_Of')	Complete_Sweep_Of	0	44	4	210	124	347	20	185	17	49
72	('Preseason_Picks', 'Latest_Advancements')	Preseason_Picks	0	139	27	171	164	133	78	67	157	64
73	('Preseason_Picks', 'Latest_Advancements')	Latest_Advancements	0	226	46	133	172	93	107	43	116	64
74	('Preseason_Picks', 'Mark_Abramson_MEDIANEWS')	Preseason_Picks	0	43	12	190	212	187	71	189	73	23
75	('Preseason_Picks', 'Mark_Abramson_MEDIANEWS')	Mark_Abramson_MEDIANEWS	0	346	4	182	101	77	31	181	55	23
76	('Preseason_Picks', 'BOB_DROGIN')	Preseason_Picks	0	119	28	145	155	221	104	60	138	30
77	('Preseason_Picks', 'BOB_DROGIN')	BOB_DROGIN	0	351	25	147	108	112	101	21	105	30
78	('Preseason_Picks', 'SIGNIFICANCE_OF')	Preseason_Picks	0	187	103	281	40	60	48	93	154	34
79	('Preseason_Picks', 'SIGNIFICANCE_OF')	SIGNIFICANCE_OF	0	262	104	435	11	13	41	24	76	34
80	('Preseason_Picks', 'visit_www.ewga.com')	Preseason_Picks	0	77	13	363	92	84	83	177	79	32
81	('Preseason_Picks', 'visit_www.ewga.com')	visit_www.ewga.com	0	22	8	191	156	68	60	389	74	32
82	('Preseason_Picks', 'rookie_Alex_Prugh')	Preseason_Picks	0	179	35	203	100	110	92	65	158	58
83	('Preseason_Picks', 'rookie_Alex_Prugh')	rookie_Alex_Prugh	0	122	32	157	137	130	108	109	147	58
84	('visit_www.ewga.com', 'Complete_Sweep_Of')	visit_www.ewga.com	0	23	3	134	305	189	115	116	94	21
85	('visit_www.ewga.com', 'Complete_Sweep_Of')	Complete_Sweep_Of	0	273	10	110	110	88	164	76	148	21
86	('visit_www.ewga.com', 'Latest_Advancements')	visit_www.ewga.com	0	147	148	254	28	51	90	182	58	42
87	('visit_www.ewga.com', 'Latest_Advancements')	Latest_Advancements	0	190	181	213	52	72	90	77	83	42
88	('visit_www.ewga.com', 'Mark_Abramson_MEDIANEWS')	visit_www.ewga.com	0	0	0	0	0	403	0	597	0	0
89	('visit_www.ewga.com', 'Mark_Abramson_MEDIANEWS')	Mark_Abramson_MEDIANEWS	0	0	0	0	0	597	0	403	0	0
90	('visit_www.ewga.com', 'BOB_DROGIN')	visit_www.ewga.com	0	21	2	186	293	113	27	315	37	6
91	('visit_www.ewga.com', 'BOB_DROGIN')	BOB_DROGIN	0	341	3	294	60	36	48	172	40	6
92	('visit_www.ewga.com', 'SIGNIFICANCE_OF')	visit_www.ewga.com	0	0	0	0	363	0	0	637	0	0
93	('visit_www.ewga.com', 'SIGNIFICANCE_OF')	SIGNIFICANCE_OF	0	0	0	0	637	0	0	363	0	0
94	('visit_www.ewga.com', 'Preseason_Picks')	visit_www.ewga.com	0	21	8	286	134	107	46	318	57	23
95	('visit_www.ewga.com', 'Preseason_Picks')	Preseason_Picks	0	61	17	291	67	73	86	278	104	23
96	('visit_www.ewga.com', 'rookie_Alex_Prugh')	visit_www.ewga.com	0	1	0	293	152	51	1	467	3	32
97	('visit_www.ewga.com', 'rookie_Alex_Prugh')	rookie_Alex_Prugh	0	19	11	223	151	82	27	422	33	32
98	('rookie_Alex_Prugh', 'Complete_Sweep_Of')	rookie_Alex_Prugh	0	101	43	148	195	186	70	88	106	63
99	('rookie_Alex_Prugh', 'Complete_Sweep_Of')	Complete_Sweep_Of	0	246	22	98	124	107	107	49	184	63
100	('rookie_Alex_Prugh', 'Latest_Advancements')	rookie_Alex_Prugh	0	83	169	102	48	75	138	206	104	75
101	('rookie_Alex_Prugh', 'Latest_Advancements')	Latest_Advancements	0	137	234	103	44	43	139	122	103	75
102	('rookie_Alex_Prugh', 'Mark_Abramson_MEDIANEWS')	rookie_Alex_Prugh	0	86	28	123	279	162	102	56	125	39
103	('rookie_Alex_Prugh', 'Mark_Abramson_MEDIANEWS')	Mark_Abramson_MEDIANEWS	0	384	25	116	149	65	65	20	137	39
104	('rookie_Alex_Prugh', 'BOB_DROGIN')	rookie_Alex_Prugh	0	86	122	283	54	62	78	180	102	33
105	('rookie_Alex_Prugh', 'BOB_DROGIN')	BOB_DROGIN	0	375	108	230	21	37	47	42	107	33
106	('rookie_Alex_Prugh', 'SIGNIFICANCE_OF')	rookie_Alex_Prugh	0	62	80	270	79	90	57	127	191	44
107	('rookie_Alex_Prugh', 'SIGNIFICANCE_OF')	SIGNIFICANCE_OF	0	270	43	371	11	19	41	21	180	44
108	('rookie_Alex_Prugh', 'Preseason_Picks')	rookie_Alex_Prugh	0	104	41	201	163	130	76	100	128	57
109	('rookie_Alex_Prugh', 'Preseason_Picks')	Preseason_Picks	0	186	40	165	92	93	101	59	207	57
110	('rookie_Alex_Prugh', 'visit_www.ewga.com')	rookie_Alex_Prugh	0	17	8	341	188	81	27	268	27	43
111	('rookie_Alex_Prugh', 'visit_www.ewga.com')	visit_www.ewga.com	0	2	0	197	102	35	1	615	5	43
